Game Title,Category,Release Date,Developers,Publishers,Platforms,Genres,Themes,Keywords,YouTube URL,YouTube Views,YouTube Likes,YouTube ReleaseDate,SteamStatus
NBA The Run,Main Game,2026-06-09,Play by Play Studios,Play by Play Studios,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Sport, Arcade",Non-fiction,"basketball, street basketball, nba, licensed game, national basketball association, street sports, based on - real people",https://www.youtube.com/watch?v=DvgJugUaKWQ,44848,2023,2026-04-29,PC Game (on Steam)
Monopoly: Star Wars Heroes vs. Villains,Main Game,2026-06-11,Behaviour Interactive,,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Strategy, Card & Board Game","Kids, Party",,https://www.youtube.com/watch?v=UBaE4K_cUHo,26800,848,2026-04-29,PC Game (on Steam)
Beastro,Main Game,2026-06-11,Timberline Studio Inc.,Timberline Studio Inc.,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One","Role-playing (RPG), Indie",,,https://www.youtube.com/watch?v=dQgshZ8bUUs,3912,216,2026-05-06,PC Game (on Steam)
4PGP,Main Game,2026-06-11,Vision Reelle,3goo,"PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Racing, Sport, Arcade",Party,"arcade racers, grand prix",https://www.youtube.com/watch?v=IG1PB-Q_Kjc,28665,598,2025-12-03,PC Game (on Steam)
Unrailed 2: Back on Track,Main Game,2026-06-11,Indoor Astronaut,Indoor Astronaut,"Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Mac, Nintendo Switch","Simulator, Indie, Arcade","Action, Survival",online coop,https://www.youtube.com/watch?v=xqbvpQNWxFg,1993,87,2026-05-21,PC Game (on Steam)
Starseeker: Astroneer Expeditions,Main Game,2026-06-11,System Era Softworks,Devolver Digital,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch",Adventure,"Action, Survival",,https://www.youtube.com/watch?v=mrJ-TIiL5f8,5910,167,2026-05-21,PC Game (on Steam)
Driftland: The Magic Revival,Main Game,2026-06-12,Star Drifters,"Star Drifters, Ultimate Games","PC (Microsoft Windows), PlayStation 5, Mac","Real Time Strategy (RTS), Simulator, Strategy, Indie","Fantasy, 4X (explore, expand, exploit, and exterminate)","god game, procedural generation, terraforming, digital distribution, pax west 2017, summoners",https://www.youtube.com/watch?v=kxgJGyRV3Yw,171840,184,2019-04-11,Console / Other
EA Sports UFC 6,Main Game,2026-06-12,EA Vancouver,EA Sports,"Xbox Series X|S, PlayStation 5","Fighting, Simulator, Sport",Action,"martial arts, licensed game, commentary",https://www.youtube.com/watch?v=bw9MKc-gV8c,399601,15069,2026-05-15,Console / Other
EA Sports UFC 6: Ultimate Edition,Main Game,2026-06-12,EA Vancouver,EA Sports,"Xbox Series X|S, PlayStation 5","Fighting, Simulator, Sport",Action,,N/A,N/A,N/A,N/A,Console / Other
Copa City,Main Game,2026-06-16,,,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Simulator, Sport, Strategy",,,https://www.youtube.com/watch?v=ho7oTk4oJVQ,1244236,26,2026-03-17,PC Game (on Steam)
Denshattack!,Main Game,2026-06-17,Undercoders,Fireshine Games,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Platform, Racing, Sport, Adventure",Action,nextfest february 2026,https://www.youtube.com/watch?v=1MUuSW4g0Bc,13564,501,2026-03-03,PC Game (on Steam)
Drug Dealer Simulator 2,Main Game,2026-06-17,Byterunners Game Studio,Movie Games S.A.,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Simulator, Adventure","Action, Sandbox",,https://www.youtube.com/watch?v=nuaee_5NIaI,1455,24,2026-04-23,Console / Other
Plus Two,Main Game,2026-06-17,CraePlay,GGmuks Inc.,"PlayStation 4, PlayStation 5",Visual Novel,Thriller,,N/A,N/A,N/A,N/A,Console / Other
The Adventures of Elliot: The Millennium Tales,Main Game,2026-06-18,"Square Enix Creative Studio 5, Clay Tech Works",Square Enix,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Adventure","Action, Fantasy",hd2d,https://www.youtube.com/watch?v=0xfxIcWTBIY,234687,6251,2026-02-05,PC Game (on Steam)
#Drive Rally,Main Game,2026-06-18,Pixel Perfect Dude,Pixel Perfect Dude,"Xbox Series X|S, Linux, PC (Microsoft Windows), PlayStation 5, Mac, Nintendo Switch","Racing, Simulator, Sport, Indie, Arcade",Action,"demo, free demo",https://www.youtube.com/watch?v=6s0iYx3ilKY,1906,40,2026-03-03,Console / Other
R-Type Tactics I & II Cosmos,Main Game,2026-06-18,Granzella,NIS America,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Strategy, Turn-based strategy (TBS)","Action, Science fiction",crowdfunding - kickstarter,https://www.youtube.com/watch?v=FKippZVYitA,5503,207,2026-03-31,PC Game (on Steam)
The Adventures of Elliot: The Millennium Tales - Digital Deluxe Edition,Main Game,2026-06-18,"Clay Tech Works, Square Enix Creative Studio 5",Square Enix,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5",,,,N/A,N/A,N/A,N/A,Non-Steam PC Game
Hell Let Loose: Vietnam,Main Game,2026-06-18,Expression Games,Team17,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Shooter, Simulator, Strategy",Action,vietnam war,https://www.youtube.com/watch?v=bjJxmPIj9Zg,133648,5571,2026-05-14,PC Game (on Steam)
Speed Dates: Summer Edition,Main Game,2026-06-18,,Dolores Entertainment,"PC (Microsoft Windows), PlayStation 5",Simulator,Erotic,nextfest june 2025,N/A,N/A,N/A,N/A,Console / Other
The Necromancer's Tale,Main Game,2026-06-24,Psychic Software,Psychic Software,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Mac","Role-playing (RPG), Adventure, Indie",Fantasy,"detective, gothic, story rich, tactical rpg ( trpg ), steam achievements, xbox controller support for pc, steam cloud, steam leaderboards, controller support, semi open world, steam families, nextfest june 2025",https://www.youtube.com/watch?v=qWe1ra_Sev0,1775,25,2026-05-13,Console / Other
Psycasso,Main Game,2026-06-25,Omni Digital Technologies,Omni Digital Technologies,"PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Adventure, Indie","Action, Horror, Stealth","creative, artistic",https://www.youtube.com/watch?v=zhOq-oYvcm8,798,72,2025-05-21,PC Game (on Steam)
Villion:Code,Main Game,2026-06-25,"Gaia, Compile Heart",Compile Heart,"PlayStation 4, Nintendo Switch 2, PlayStation 5, Nintendo Switch",Role-playing (RPG),Science fiction,"dungeon crawling, randomly generated dungeons, action-rpg",https://www.youtube.com/watch?v=P8X9Gk8Cjc0,7835,0,2026-02-19,Console / Other
Abyssus,Main Game,2026-06-25,DoubleMoose Games,The Arcade Crew,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Shooter, Adventure, Indie",Action,"pve, roguelite, online coop",https://www.youtube.com/watch?v=KkkDkiGhb20,4229,161,2026-05-12,Console / Other
Changer Seven,Main Game,2026-06-30,Gixer Entertainment,Gixer Entertainment,"PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Hack and slash/Beat 'em up, Adventure, Indie",Action,"super hero, brawler, story rich, magical girl, saturday morning cartoon, tokusatsu",https://www.youtube.com/watch?v=jw2gVwm37aM,12,0,2025-12-31,PC Game (on Steam)
Road Truckers: New Beginning,Main Game,2026-06-30,Road Studio S.A.,Movie Games,"PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Simulator, Indie","Business, Open world","life simulation, truck simulator, cozy, trucks",https://www.youtube.com/watch?v=iYb0liELGIc,6607,89,2026-04-09,PC Game (on Steam)
Gangs of Asia,Main Game,2026-06-30,Moonpunch,MicroProse,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Real Time Strategy (RTS), Strategy, Tactical, Indie","Action, Warfare","martial arts, pixel art, kung fu, split-screen multiplayer, online coop",https://www.youtube.com/watch?v=pfCUesy3Cdo,1694,66,2026-05-05,Console / Other
Erosion,Main Game,2026-06-30,PlotTwist Studios,Lyrical Games,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Adventure,Action,steam achievements,https://www.youtube.com/watch?v=Zm4cvSMe4Ig,2779,93,2026-01-08,PC Game (on Steam)
Spirit & Steel,Main Game,2026-06-30,,,"PC (Microsoft Windows), PlayStation 5",Adventure,"Action, Fantasy","robots, melee combat, boss fight, xbox controller support for pc, single-player only, shaman, third-person narrative",https://www.youtube.com/watch?v=R9VnZ8QmYPU,14,1,2025-12-06,Console / Other
Teeto,Main Game,2026-06-30,Eat Pant Games,Eat Pant Games,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Platform, Adventure",,"cute, 3d platformer, wholesome, cozy",https://www.youtube.com/watch?v=p8f1LztbzV8,617,4,2026-02-19,PC Game (on Steam)
Skinwalker: First Blood,Main Game,2026-06-30,SISMO Games,Team17,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Platform, Adventure",Action,steam achievements,https://www.youtube.com/watch?v=ECUmR65LPFE,225,14,2025-12-10,Console / Other
TankRat,Main Game,2026-06-30,Alpha Channel,Kepler Interactive,"PC (Microsoft Windows), PlayStation 5",Adventure,Action,steam achievements,https://www.youtube.com/watch?v=j55UZjRqGDU,74704,577,2025-12-12,PC Game (on Steam)
Freestyle Football 2,Main Game,2026-06-30,WOORE,Joycity Corporation,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5",Sport,,,https://www.youtube.com/watch?v=E1BTs3o6xC0,14130,164,2025-08-20,PC Game (on Steam)
Norse: Oath of Blood,Main Game,2026-06-30,Arctic Hazard,Tripwire Interactive,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical",Historical,"class-based, base building, steam achievements, lore rich, steam families",https://www.youtube.com/watch?v=YcT7dIPg2L8,8651,124,2026-02-17,Console / Other
Operation Highjump: The Fall of Berlin,Main Game,2026-06-30,,,"PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch",Adventure,Action,,https://www.youtube.com/watch?v=TwRZkDECZ8g,2155,43,2026-02-02,PC Game (on Steam)
Fight Life: Vanguard,Main Game,2026-06-30,StartImpulse,Two Cakes Studio,"Xbox Series X|S, PlayStation 4, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Role-playing (RPG), Strategy",Fantasy,"turn-based combat, hex grid",https://www.youtube.com/watch?v=euAG5QEmjjI,29,2,2026-02-22,Console / Other
Harvest Cafe,Main Game,2026-06-30,World of Poly,World of Poly,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch","Simulator, Adventure, Indie",,"farming, relaxing, cozy, restaurant management, casual game",https://www.youtube.com/watch?v=hpAKJsyawpg,211272,10,2026-03-26,Console / Other
Dimhaven: The Lost Source,Main Game,2026-06-30,Zadbox Entertainment,"Zadbox Entertainment, Blue Brain Games","Xbox Series X|S, Linux, PC (Microsoft Windows), PlayStation 5, Mac","Puzzle, Adventure, Indie",Mystery,,https://www.youtube.com/watch?v=v6F4fTrSuo8,109,5,2025-09-18,PC Game (Verification Error)
Murky Divers,Main Game,2026-06-30,Embers,Oro Interactive,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Adventure, Indie","Action, Horror",,https://www.youtube.com/watch?v=gwdqkao2O18,810,50,2024-10-24,Console / Other
Momento,Main Game,2026-06-30,"Fat Alien Cat, Nomo Studio",Silver Lining Interactive,"Linux, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Mac, Nintendo Switch","Point-and-click, Puzzle",,"casual, steam achievements, cozy, steam families",https://www.youtube.com/watch?v=aSkng8Jpe1M,63943,24,2026-03-17,PC Game (Verification Error)
Final Fantasy VII Rebirth: Digital Deluxe Edition,Main Game,2026-06-03,Square Enix Creative Business Unit I,Square Enix,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5","Role-playing (RPG), Adventure","Action, Fantasy",,N/A,N/A,N/A,N/A,Console / Other
Forensic: M.E. Protocol,Main Game,2026-06-04,,,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Simulator, Adventure, Indie",,,N/A,N/A,N/A,N/A,Console / Other
Robo Frenzy,Main Game,2026-06-30,"YummyYummyTummy Inc., Tamatin Entertainment",YummyYummyTummy Inc.,"Xbox Series X|S, PC (Microsoft Windows), Nintendo Switch","Hack and slash/Beat 'em up, Indie","Action, Science fiction",grid-based,https://www.youtube.com/watch?v=MZ2b0BXp9vA,1378,27,2025-08-20,PC Game (Verification Error)
A Heavy Morning,Main Game,2026-06-30,,,"Xbox Series X|S, PC (Microsoft Windows), Xbox One","Adventure, Indie",,,https://www.youtube.com/watch?v=CXL3hmhzgxs,1387,48,2025-09-16,PC Game (Verification Error)
Pure Pool Pro,Main Game,2026-06-30,Rockwater Games,Ripstone,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5","Simulator, Sport, Strategy, Indie",,"pool, billiards, relaxing, billiards game, jazz, cosy",https://www.youtube.com/watch?v=oCLc4qrR1u0,5660,105,2026-02-05,Console / Other
Dispatch,Main Game,2026-06-30,AdHoc Studio,AdHoc Studio,"Xbox Series X|S, Nintendo Switch 2, PC (Microsoft Windows), PlayStation 5, Nintendo Switch","Point-and-click, Strategy, Adventure","Action, Comedy","superhero, fmv, nextfest june 2025",https://www.youtube.com/watch?v=K5y8fK2VFWA,1173969,1816,2026-03-26,Console / Other
Forever Skies,Main Game,2026-06-30,Far From Home,Far From Home,"Xbox Series X|S, PC (Microsoft Windows), PlayStation 5, Xbox One","Simulator, Adventure","Action, Science fiction, Survival",,https://www.youtube.com/watch?v=DqIlddD4ung,324,7,2026-04-16,Console / Other
Liquor Store Simulator,Main Game,2026-06-01,Tovarishch Games,PlayWay S.A.,"PC (Microsoft Windows), Nintendo Switch","Simulator, Indie",,,N/A,N/A,N/A,N/A,Console / Other
Counter Call: Half Escape Shooter,Main Game,2026-06-02,,,Nintendo Switch,"Shooter, Simulator",Action,,N/A,N/A,N/A,N/A,Console / Other
Scarlet Wolf,Main Game,2026-06-03,,,"PC (Microsoft Windows), Mac, Nintendo Switch","Adventure, Indie",Action,,N/A,N/A,N/A,N/A,Console / Other
Springbot: The Last Spark,Main Game,2026-06-03,,,Nintendo Switch,"Platform, Adventure",Action,,N/A,N/A,N/A,N/A,Console / Other
A-Train 9 Evolution,Main Game,2026-06-04,Artdink,Artdink,Nintendo Switch,Simulator,,train simulator,https://www.youtube.com/watch?v=WeSdn6eMAHk,412424,2087,2026-02-03,Console / Other
Crazy Chain: Elpis no Kusari,Main Game,2026-06-04,Otomate,"Idea Factory Co., Ltd.",Nintendo Switch,Visual Novel,Romance,otome,N/A,N/A,N/A,N/A,Console / Other
Korean Drone Flying Tour Anmyeon-eup,Main Game,2026-06-04,,,Nintendo Switch,"Simulator, Arcade",,,N/A,N/A,N/A,N/A,Console / Other
Mori Carta,Main Game,2026-06-04,Nevergreen Games,,"PC (Microsoft Windows), Mac, Nintendo Switch","Role-playing (RPG), Strategy, Adventure, Indie, Card & Board Game",,roguelike deckbuilder,https://www.youtube.com/watch?v=lbTPYvHTZKg,139,2,2023-02-20,Console / Other
Rolling Wheels,Main Game,2026-06-04,,,"PlayStation 4, PlayStation 5, Nintendo Switch","Platform, Strategy, Arcade",Action,,N/A,N/A,N/A,N/A,Console / Other
Animal Puzzles,Main Game,2026-06-04,Inlogic Software,Silesia Games,"Nintendo Switch 2, Nintendo Switch",Puzzle,Educational,,N/A,N/A,N/A,N/A,Console / Other
Crayon Magic World,Main Game,2026-06-04,,,Nintendo Switch,Arcade,Educational,,N/A,N/A,N/A,N/A,Console / Other
Crystalase,Main Game,2026-06-04,,,Nintendo Switch,"Puzzle, Card & Board Game",Educational,,N/A,N/A,N/A,N/A,Console / Other
Golem Lights,Main Game,2026-06-04,,,Nintendo Switch,"Puzzle, Strategy, Adventure",,,N/A,N/A,N/A,N/A,Console / Other
The Vanishing Train,Main Game,2026-06-04,,,"PC (Microsoft Windows), Nintendo Switch","Simulator, Adventure, Indie",Horror,"steam achievements, ai-generated coding, ai-generated translations",N/A,N/A,N/A,N/A,Console / Other
Lord of the Click 4,Main Game,2026-06-04,,,"Xbox Series X|S, PC (Microsoft Windows), Xbox One, Nintendo Switch","Strategy, Indie",Action,,N/A,N/A,N/A,N/A,Console / Other
Lord of the Click 5,Main Game,2026-06-04,,,"Xbox Series X|S, PC (Microsoft Windows), Xbox One, Nintendo Switch","Strategy, Adventure",,,N/A,N/A,N/A,N/A,Console / Other
Mosaic Quiz Fastest Finger Battle,Main Game,2026-06-04,,,Nintendo Switch,,Educational,,N/A,N/A,N/A,N/A,Console / Other
Isekai Villain,Main Game,2026-06-04,Exe Create Inc.,Kemco,"Xbox Series X|S, Android, PC (Microsoft Windows), iOS, PlayStation 5, Nintendo Switch","Role-playing (RPG), Simulator, Strategy, Adventure",Fantasy,,https://www.youtube.com/watch?v=_Vb96pbrItc,37986,1729,2025-10-16,Console / Other
Eggconsole Marchen Veil II PC-9801,Main Game,2026-06-04,,,Nintendo Switch,Role-playing (RPG),Action,,N/A,N/A,N/A,N/A,Console / Other
Fish In,Main Game,2026-06-04,,,Nintendo Switch,"Role-playing (RPG), Simulator, Adventure, Arcade",,,N/A,N/A,N/A,N/A,Console / Other
Hidden Oddities in Everyday Life Mystery,Main Game,2026-06-04,,,Nintendo Switch,Strategy,,,N/A,N/A,N/A,N/A,Console / Other
Sora: Songs of the Stone,Main Game,2026-06-04,,,Nintendo Switch,"Puzzle, Racing, Simulator, Adventure",,,N/A,N/A,N/A,N/A,Console / Other
Seals From the Frosty Bay,Main Game,2026-06-05,,,Nintendo Switch,"Platform, Puzzle, Arcade",,,N/A,N/A,N/A,N/A,Console / Other
Car Racing: Auto & Formula Sport,Main Game,2026-06-05,,,Nintendo Switch,,,,N/A,N/A,N/A,N/A,Console / Other
The Fallen Kingdom,Main Game,2026-06-05,,,"PC (Microsoft Windows), Nintendo Switch","Puzzle, Role-playing (RPG), Adventure, Indie","Action, Party",,N/A,N/A,N/A,N/A,Console / Other
Steamboat Incident,Main Game,2026-06-05,,,Nintendo Switch,Adventure,,,N/A,N/A,N/A,N/A,Console / Other
D.U.M.B.E.R. Ducks,Main Game,2026-06-05,,,Nintendo Switch,"Shooter, Platform, Adventure",Action,,N/A,N/A,N/A,N/A,Console / Other
Kitten Island 2,Main Game,2026-06-06,,,"Xbox Series X|S, PlayStation 4, PC (Microsoft Windows), PlayStation 5, Xbox One, Nintendo Switch",,Action,,N/A,N/A,N/A,N/A,Console / Other
Tavern Talk Stories: Dreamwalker,Main Game,2026-06-09,Gentle Troll Entertainment,Gentle Troll Entertainment,"PC (Microsoft Windows), Nintendo Switch","Simulator, Adventure, Indie, Visual Novel",Fantasy,"dark fantasy, asteria",https://www.youtube.com/watch?v=PnCBypNAGBw,479,61,2026-05-28,PC Game (Verification Error)
Poetic Trio,Main Game,2026-06-09,"Tonguc Bodur, Tonguc Bodur","Tonguc Bodur, Sometimes You","Xbox Series X|S, PC (Microsoft Windows), Xbox One, Nintendo Switch",Adventure,,,N/A,N/A,N/A,N/A,Console / Other
Secret Paws: Cozy Apartments,Main Game,2026-06-10,,,"PC (Microsoft Windows), Nintendo Switch","Puzzle, Indie",,,N/A,N/A,N/A,N/A,Console / Other
Pardon My French Toast,Main Game,2026-06-11,ReRolled Studio,,"PC (Microsoft Windows), Nintendo Switch","Platform, Adventure, Indie","Action, Comedy",,https://www.youtube.com/watch?v=zetiKgcEZnY,558,13,2025-05-28,Console / Other
Pawafuru Puroyakyu 2026-2027,Main Game,2026-06-11,Konami Digital Entertainment,Konami Digital Entertainment,"PlayStation 4, Nintendo Switch",Sport,Action,baseball,https://www.youtube.com/watch?v=I-a_LBL8hEE,361220,3797,2026-02-05,Console / Other
Arashi Gaiden,Main Game,2026-06-11,statera studio,Nuntius Games,"PC (Microsoft Windows), Nintendo Switch","Puzzle, Strategy, Indie, Arcade",Action,turn-based,https://www.youtube.com/watch?v=yBO9_FRmoZM,133,28,2026-04-14,Console / Other
Love Chemistry: Sibella's Formula,Main Game,2026-06-11,,,"PlayStation 4, PlayStation 5, Nintendo Switch","Platform, Adventure",Action,,N/A,N/A,N/A,N/A,Console / Other
Flippy Jump,Main Game,2026-06-11,,Nostra Games,"PlayStation 4, PlayStation 5, Nintendo Switch","Platform, Puzzle, Strategy, Arcade",Action,,N/A,N/A,N/A,N/A,Console / Other
Lovely Deco House,Main Game,2026-06-11,,,Nintendo Switch,"Puzzle, Adventure, Arcade, Card & Board Game",,,N/A,N/A,N/A,N/A,Console / Other
Youtuber Boys: Love Behind the Camera,Main Game,2026-06-11,,,Nintendo Switch,Simulator,,,N/A,N/A,N/A,N/A,Console / Other
Reel it! World Fishing,Main Game,2026-06-11,,,Nintendo Switch,Sport,"Action, Party",,N/A,N/A,N/A,N/A,Console / Other
Honey Sprint,Main Game,2026-06-11,,,Nintendo Switch,"Puzzle, Strategy, Adventure",,,N/A,N/A,N/A,N/A,Console / Other
Beholder: Conductor,Main Game,2026-06-11,Alawar,Alawar,"PC (Microsoft Windows), Mac, Nintendo Switch","Point-and-click, Puzzle, Simulator, Strategy, Adventure, Indie",,available on - blacknut,https://www.youtube.com/watch?v=hHfZogAzJ7c,36494,1920,2025-04-21,Console / Other
Blossom Voyage,Main Game,2026-06-11,,,Nintendo Switch,"Role-playing (RPG), Simulator, Strategy",,,N/A,N/A,N/A,N/A,Console / Other
Dragon Loop,Main Game,2026-06-11,,,Nintendo Switch,"Role-playing (RPG), Strategy, Adventure",Action,,N/A,N/A,N/A,N/A,Console / Other
Little Kitty Meow,Main Game,2026-06-12,,,Nintendo Switch,"Simulator, Adventure, Arcade",,,N/A,N/A,N/A,N/A,Console / Other
Pitstop in Purgatory,Main Game,2026-06-12,Tymedust Games,Tymedust Games,"Linux, Android, PC (Microsoft Windows), Mac, Nintendo Switch","Simulator, Adventure, Indie, Visual Novel","Comedy, Mystery, Romance",,https://www.youtube.com/watch?v=m1lA_usswIQ,358,15,2022-06-30,Console / Other
Cozy Home Unpacking,Main Game,2026-06-12,,,Nintendo Switch,"Simulator, Adventure, Arcade",,,N/A,N/A,N/A,N/A,Console / Other
Dialoop,Main Game,2026-06-17,Byking Inc.,Byking Inc.,"PC (Microsoft Windows), Nintendo Switch","Simulator, Strategy, Indie",,,https://www.youtube.com/watch?v=gW4dwYp2A1o,37521,17,2026-04-21,Console / Other
